timestamp,team_id,emp_hash,rating_1to5,comment_text
2025-06-19,ENG-PLATFORM,386ea9c1908c,5,Too many alerts this sprint
2025-06-19,ENG-PLATFORM,cab95421fd1d,3,Waiting on reimbursement
2025-06-19,ENG-PLATFORM,261065c7e8c2,2,Manager support is decent
2025-06-19,ENG-PLATFORM,20eae3948e94,4,Workload spiking near deadlines
2025-06-19,ENG-PLATFORM,386ea9c1908c,2,Good learning last week
2025-06-19,ENG-PLATFORM,6f323a85838a,4,Workload spiking near deadlines
2025-06-19,RISK-OPS,c9202ac25327,4,Need career path clarity
2025-06-19,RISK-OPS,2b21ea99c2cb,3,Too many alerts this sprint
2025-06-19,RISK-OPS,65eb7ae11d36,2,Waiting on reimbursement
2025-06-19,RISK-OPS,796b367c6c03,3,Culture improving
2025-06-19,RISK-OPS,5ae114878fe7,2,Good learning last week
2025-06-19,RISK-OPS,c441c44213ed,3,Manager support is decent
2025-06-19,RISK-OPS,594548490b12,3,Manager support is decent
2025-06-19,RISK-OPS,1c771609495b,3,Too many alerts this sprint
2025-06-19,FIN-OPS,35f8c8fe812a,4,Manager support is decent
2025-06-19,FIN-OPS,f86dad4f99d0,4,Manager support is decent
2025-06-19,FIN-OPS,dacbf99a38e0,3,Culture improving
2025-06-19,FIN-OPS,2f0472885eaa,3,Manager support is decent
2025-06-19,FIN-OPS,12c12b2693f2,5,Good learning last week
2025-06-19,CS-SUPPORT,ebf98a19cb32,3,Manager support is decent
2025-06-19,CS-SUPPORT,2f6e56a45050,3,Payroll cutoff confusion
2025-06-19,CS-SUPPORT,3c072731233c,3,Waiting on reimbursement
2025-06-19,CS-SUPPORT,df83c83b6759,3,Good learning last week
2025-06-19,CS-SUPPORT,64223f098aad,3,Manager support is decent
2025-06-19,CS-SUPPORT,b1fd761c9bfc,5,Waiting on reimbursement
2025-06-19,CS-SUPPORT,f905c3dc0105,5,Good learning last week
2025-06-19,CS-SUPPORT,51aee1c13e89,4,Need career path clarity
2025-06-19,CS-SUPPORT,e505b4d1a379,5,Good learning last week
2025-06-20,ENG-PLATFORM,730a5bbebc37,2,Good learning last week
2025-06-20,ENG-PLATFORM,e71591f90e53,2,Culture improving
2025-06-20,ENG-PLATFORM,7e3d8f1cdd95,3,Manager support is decent
2025-06-20,ENG-PLATFORM,843425aeec78,4,Culture improving
2025-06-20,ENG-PLATFORM,843425aeec78,5,Payroll cutoff confusion
2025-06-20,ENG-PLATFORM,48e277f16eab,5,Payroll cutoff confusion
2025-06-20,ENG-PLATFORM,b99e1c243540,3,Waiting on reimbursement
2025-06-20,ENG-PLATFORM,cab95421fd1d,5,Too many alerts this sprint
2025-06-20,ENG-PLATFORM,62c15799ac06,4,Need career path clarity
2025-06-20,ENG-PLATFORM,8c2215ab08bf,4,Need career path clarity
2025-06-20,RISK-OPS,2b21ea99c2cb,2,Payroll cutoff confusion
2025-06-20,RISK-OPS,594548490b12,2,Manager support is decent
2025-06-20,RISK-OPS,cd4dd1beb52b,2,Need career path clarity
2025-06-20,RISK-OPS,0cd6d1f6eb44,2,Need career path clarity
2025-06-20,RISK-OPS,2f6e56a45050,4,Payroll cutoff confusion
2025-06-20,RISK-OPS,874fefaa4a1c,3,Workload spiking near deadlines
2025-06-20,RISK-OPS,76e54f039797,2,Too many alerts this sprint
2025-06-20,RISK-OPS,342f2d338a38,3,Manager support is decent
2025-06-20,RISK-OPS,4a61d470416d,3,Waiting on reimbursement
2025-06-20,RISK-OPS,1f903ca452ec,2,Too many alerts this sprint
2025-06-20,FIN-OPS,118ef7411dbd,2,Too many alerts this sprint
2025-06-20,FIN-OPS,730a5bbebc37,5,Good learning last week
2025-06-20,FIN-OPS,cd4dd1beb52b,3,Waiting on reimbursement
2025-06-20,FIN-OPS,da7d4bb97c8d,4,Workload spiking near deadlines
2025-06-20,FIN-OPS,0cd6d1f6eb44,3,Payroll cutoff confusion
2025-06-20,FIN-OPS,932f9ef8af99,2,Culture improving
2025-06-20,FIN-OPS,9ce55b01d9e6,3,Good learning last week
2025-06-20,CS-SUPPORT,431c4fe44efd,4,Manager support is decent
2025-06-20,CS-SUPPORT,ebf98a19cb32,5,Payroll cutoff confusion
2025-06-20,CS-SUPPORT,063b54898bc9,2,Waiting on reimbursement
2025-06-20,CS-SUPPORT,c2b2121c35da,5,Payroll cutoff confusion
2025-06-20,CS-SUPPORT,dacbf99a38e0,3,Too many alerts this sprint
2025-06-21,ENG-PLATFORM,843425aeec78,4,Good learning last week
2025-06-21,ENG-PLATFORM,c9202ac25327,3,Need career path clarity
2025-06-21,ENG-PLATFORM,64223f098aad,5,Culture improving
2025-06-21,ENG-PLATFORM,367e82d0c267,4,Payroll cutoff confusion
2025-06-21,ENG-PLATFORM,3d95247f129e,3,Good learning last week
2025-06-21,ENG-PLATFORM,74e050844ced,3,Workload spiking near deadlines
2025-06-21,ENG-PLATFORM,20eae3948e94,4,Good learning last week
2025-06-21,ENG-PLATFORM,20eae3948e94,3,Workload spiking near deadlines
2025-06-21,ENG-PLATFORM,1acf7e8fda5e,5,Workload spiking near deadlines
2025-06-21,ENG-PLATFORM,6f323a85838a,2,Workload spiking near deadlines
2025-06-21,ENG-PLATFORM,9069c6c5c535,3,Manager support is decent
2025-06-21,RISK-OPS,5ae114878fe7,3,Good learning last week
2025-06-21,RISK-OPS,da7d4bb97c8d,2,Payroll cutoff confusion
2025-06-21,RISK-OPS,cab95421fd1d,3,Need career path clarity
2025-06-21,RISK-OPS,2086812e1e39,2,Manager support is decent
2025-06-21,RISK-OPS,67edb7a8e8fe,3,Culture improving
2025-06-21,RISK-OPS,9cfc4f786ecf,3,Payroll cutoff confusion
2025-06-21,RISK-OPS,9069c6c5c535,2,Manager support is decent
2025-06-21,RISK-OPS,43f3618fdbad,3,Culture improving
2025-06-21,FIN-OPS,cab95421fd1d,3,Good learning last week
2025-06-21,FIN-OPS,f905c3dc0105,4,Waiting on reimbursement
2025-06-21,FIN-OPS,9cfc4f786ecf,3,Too many alerts this sprint
2025-06-21,FIN-OPS,788047dafc58,3,Manager support is decent
2025-06-21,FIN-OPS,367e82d0c267,4,Manager support is decent
2025-06-21,FIN-OPS,fe2a70fdf392,5,Workload spiking near deadlines
2025-06-21,CS-SUPPORT,f86dad4f99d0,3,Waiting on reimbursement
2025-06-21,CS-SUPPORT,9f77826ebed3,4,Payroll cutoff confusion
2025-06-21,CS-SUPPORT,843425aeec78,4,Workload spiking near deadlines
2025-06-21,CS-SUPPORT,24bf71145948,4,Workload spiking near deadlines
2025-06-21,CS-SUPPORT,50567a292335,3,Payroll cutoff confusion
2025-06-21,CS-SUPPORT,d07953451aaf,4,Payroll cutoff confusion
2025-06-22,ENG-PLATFORM,2086812e1e39,3,Good learning last week
2025-06-22,ENG-PLATFORM,43f3618fdbad,4,Workload spiking near deadlines
2025-06-22,ENG-PLATFORM,62c15799ac06,3,Workload spiking near deadlines
2025-06-22,ENG-PLATFORM,fe2a70fdf392,4,Payroll cutoff confusion
2025-06-22,ENG-PLATFORM,118ef7411dbd,4,Waiting on reimbursement
2025-06-22,ENG-PLATFORM,43f3618fdbad,4,Manager support is decent
2025-06-22,ENG-PLATFORM,1c3cb3049c90,3,Manager support is decent
2025-06-22,RISK-OPS,41a64d7e9787,2,Need career path clarity
2025-06-22,RISK-OPS,3d95247f129e,4,Good learning last week
2025-06-22,RISK-OPS,5581e8598db1,4,Workload spiking near deadlines
2025-06-22,RISK-OPS,c9213eae3dbc,2,Need career path clarity
2025-06-22,RISK-OPS,67edb7a8e8fe,4,Culture improving
2025-06-22,RISK-OPS,6b67e9d9008f,3,Good learning last week
2025-06-22,FIN-OPS,431c4fe44efd,3,Need career path clarity
2025-06-22,FIN-OPS,c2b2121c35da,5,Too many alerts this sprint
2025-06-22,FIN-OPS,1f903ca452ec,3,Manager support is decent
2025-06-22,FIN-OPS,a2bcde3c7acd,4,Manager support is decent
2025-06-22,FIN-OPS,1acf7e8fda5e,4,Good learning last week
2025-06-22,FIN-OPS,118ef7411dbd,3,Waiting on reimbursement
2025-06-22,FIN-OPS,6b67e9d9008f,3,Manager support is decent
2025-06-22,FIN-OPS,9ce55b01d9e6,3,Culture improving
2025-06-22,FIN-OPS,d07953451aaf,3,Payroll cutoff confusion
2025-06-22,FIN-OPS,ae3fc8dad4c6,4,Too many alerts this sprint
2025-06-22,CS-SUPPORT,64223f098aad,4,Too many alerts this sprint
2025-06-22,CS-SUPPORT,6b67e9d9008f,5,Manager support is decent
2025-06-22,CS-SUPPORT,9ce55b01d9e6,3,Too many alerts this sprint
2025-06-22,CS-SUPPORT,d048f004ae50,2,Waiting on reimbursement
2025-06-22,CS-SUPPORT,e505b4d1a379,3,Good learning last week
2025-06-23,ENG-PLATFORM,a6acc0407327,5,Too many alerts this sprint
2025-06-23,ENG-PLATFORM,118ef7411dbd,4,Too many alerts this sprint
2025-06-23,ENG-PLATFORM,26dcde7c76cd,2,Manager support is decent
2025-06-23,ENG-PLATFORM,3c072731233c,4,Too many alerts this sprint
2025-06-23,ENG-PLATFORM,12c12b2693f2,2,Culture improving
2025-06-23,ENG-PLATFORM,342f2d338a38,3,Too many alerts this sprint
2025-06-23,ENG-PLATFORM,51aee1c13e89,5,Payroll cutoff confusion
2025-06-23,ENG-PLATFORM,dacbf99a38e0,5,Need career path clarity
2025-06-23,ENG-PLATFORM,51a8a8a6b734,2,Manager support is decent
2025-06-23,ENG-PLATFORM,1acf7e8fda5e,5,Waiting on reimbursement
2025-06-23,RISK-OPS,ae3fc8dad4c6,3,Waiting on reimbursement
2025-06-23,RISK-OPS,a8c6a5afb514,2,Workload spiking near deadlines
2025-06-23,RISK-OPS,4697a4eb35b0,3,Workload spiking near deadlines
2025-06-23,RISK-OPS,26dcde7c76cd,3,Good learning last week
2025-06-23,RISK-OPS,76e54f039797,2,Manager support is decent
2025-06-23,FIN-OPS,4e39552e8ba3,4,Need career path clarity
2025-06-23,FIN-OPS,c9213eae3dbc,5,Waiting on reimbursement
2025-06-23,FIN-OPS,f86dad4f99d0,3,Waiting on reimbursement
2025-06-23,FIN-OPS,c5b54be832cb,3,Need career path clarity
2025-06-23,FIN-OPS,386ea9c1908c,3,Culture improving
2025-06-23,FIN-OPS,5b6b72764a79,4,Good learning last week
2025-06-23,FIN-OPS,e505b4d1a379,3,Manager support is decent
2025-06-23,FIN-OPS,2f6e56a45050,2,Payroll cutoff confusion
2025-06-23,FIN-OPS,2b21ea99c2cb,3,Payroll cutoff confusion
2025-06-23,FIN-OPS,0defd3f62cf1,3,Good learning last week
2025-06-23,CS-SUPPORT,386ea9c1908c,5,Good learning last week
2025-06-23,CS-SUPPORT,7e3d8f1cdd95,3,Too many alerts this sprint
2025-06-23,CS-SUPPORT,9069c6c5c535,2,Too many alerts this sprint
2025-06-23,CS-SUPPORT,0defd3f62cf1,5,Need career path clarity
2025-06-23,CS-SUPPORT,41a64d7e9787,4,Culture improving
2025-06-23,CS-SUPPORT,386ea9c1908c,2,Too many alerts this sprint
2025-06-23,CS-SUPPORT,a69f8dbf16c0,4,Too many alerts this sprint
2025-06-23,CS-SUPPORT,4d781f77977b,2,Need career path clarity
2025-06-24,ENG-PLATFORM,35f8c8fe812a,3,Need career path clarity
2025-06-24,ENG-PLATFORM,b1fd761c9bfc,4,Manager support is decent
2025-06-24,ENG-PLATFORM,50567a292335,4,Good learning last week
2025-06-24,ENG-PLATFORM,397ec0744e99,2,Need career path clarity
2025-06-24,ENG-PLATFORM,254e5d281a69,4,Good learning last week
2025-06-24,ENG-PLATFORM,63d4352f9a2b,4,Manager support is decent
2025-06-24,ENG-PLATFORM,64223f098aad,3,Culture improving
2025-06-24,ENG-PLATFORM,67edb7a8e8fe,2,Too many alerts this sprint
2025-06-24,ENG-PLATFORM,118ef7411dbd,3,Need career path clarity
2025-06-24,ENG-PLATFORM,3e500fa1f2aa,4,Too many alerts this sprint
2025-06-24,RISK-OPS,2086812e1e39,3,Need career path clarity
2025-06-24,RISK-OPS,41a64d7e9787,2,Too many alerts this sprint
2025-06-24,RISK-OPS,7e3d8f1cdd95,4,Workload spiking near deadlines
2025-06-24,RISK-OPS,29b97656e8ee,3,Good learning last week
2025-06-24,RISK-OPS,a8c6a5afb514,4,Culture improving
2025-06-24,RISK-OPS,788047dafc58,3,Payroll cutoff confusion
2025-06-24,RISK-OPS,41a64d7e9787,2,Payroll cutoff confusion
2025-06-24,FIN-OPS,67edb7a8e8fe,2,Too many alerts this sprint
2025-06-24,FIN-OPS,0b75213cac95,5,Culture improving
2025-06-24,FIN-OPS,594548490b12,3,Too many alerts this sprint
2025-06-24,FIN-OPS,2b21ea99c2cb,3,Waiting on reimbursement
2025-06-24,FIN-OPS,386ea9c1908c,2,Good learning last week
2025-06-24,FIN-OPS,81b4eac32d7a,4,Manager support is decent
2025-06-24,FIN-OPS,1f903ca452ec,4,Good learning last week
2025-06-24,CS-SUPPORT,f65b751f5aea,4,Good learning last week
2025-06-24,CS-SUPPORT,b99e1c243540,5,Workload spiking near deadlines
2025-06-24,CS-SUPPORT,8c2215ab08bf,2,Need career path clarity
2025-06-24,CS-SUPPORT,2b21ea99c2cb,3,Payroll cutoff confusion
2025-06-24,CS-SUPPORT,fe2a70fdf392,4,Good learning last week
2025-06-24,CS-SUPPORT,d5d2de92b85b,2,Payroll cutoff confusion
2025-06-24,CS-SUPPORT,999a20965980,4,Culture improving
2025-06-24,CS-SUPPORT,661e62e71408,4,Need career path clarity
2025-06-24,CS-SUPPORT,ae3fc8dad4c6,4,Payroll cutoff confusion
